"Dstat 0.7.2 CSV output",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Host:","jmue-VirtualBox",,,,"User:","jmue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cmdline:","dstat --epoch --mem --swap --sys --page --cpu -C total,0,1 --net -N total,eth0 --disk --io -D total,sda --nocolor --output kmeans_5M_prep.log 1",,,,"Date:","15 Jul 2015 21:10:36 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"epoch","memory usage",,,,"swap",,"system",,"paging",,"total cpu usage",,,,,,"cpu0 usage",,,,,,"cpu1 usage",,,,,,"net/total",,"net/eth0",,"dsk/total",,"dsk/sda",,"io/total",,"io/sda",
"epoch","used","buff","cach","free","used","free","int","csw","in","out","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ"
1436987436.492,1258663936,40128512,470007808,2378235904,0,2145382400,337.356,670.687,0,0,27.615,6.73,65.397,0.099,0.002,0.157,28.633,7.139,63.819,0.17,0.004,0.234,26.666,6.349,66.868,0.033,0,0.084,0,0,0,0,390467.546,6498.621,390467.546,6498.621,5.374,0.547,5.374,0.547
1436987437.493,1280311296,40136704,470265856,2356322304,0,2145382400,1093,1441,0,0,58.947,26.316,14.211,0.526,0,0,56.25,30.208,13.542,0,0,0,61.29,21.505,16.129,1.075,0,0,0,0,0,0,53248,40960,53248,40960,7,3,7,3
1436987438.495,1304850432,40136704,472526848,2329522176,0,2145382400,431,806,0,0,36.782,20.115,43.103,0,0,0,41.463,30.488,28.049,0,0,0,32.609,10.87,56.522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987439.497,1338589184,40136704,474730496,2293579776,0,2145382400,419,801,0,0,29.189,23.243,47.568,0,0,0,52.688,43.011,4.301,0,0,0,6.452,4.301,89.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987440.498,1365925888,40136704,477233152,2263740416,0,2145382400,385,820,0,0,24.706,23.529,51.765,0,0,0,51.316,48.684,0,0,0,0,3.158,4.211,92.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987441.495,1405554688,40144896,480268288,2221068288,0,2145382400,384,729,0,0,27.586,27.586,44.828,0,0,0,20.455,44.318,35.227,0,0,0,34.118,8.235,56.471,0,0,1.176,0,0,0,0,0,131072,0,131072,0,5,0,5
1436987442.496,1404207104,40144896,484417536,2218266624,0,2145382400,436,845,0,0,40,11.429,47.429,0,0,1.143,80,13.75,3.75,0,0,2.5,7.368,9.474,83.158,0,0,0,0,0,0,0,0,12738560,0,12738560,0,48,0,48
1436987443.494,1403654144,40144896,488812544,2214424576,0,2145382400,403,818,0,0,44.509,6.936,48.555,0,0,0,75.904,8.434,15.663,0,0,0,15.385,5.495,79.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987444.496,1403863040,40144896,493445120,2209583104,0,2145382400,382,796,0,0,43.373,5.422,51.205,0,0,0,61.333,8,30.667,0,0,0,28.09,3.371,68.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987445.497,1403564032,40144896,497942528,2205384704,0,2145382400,338,768,0,0,43.046,9.934,47.02,0,0,0,10.811,5.405,83.784,0,0,0,74.359,14.103,11.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987446.494,1403080704,40153088,502489088,2201313280,0,2145382400,424,852,0,0,43.03,8.485,46.667,1.212,0,0.606,65.333,10.667,24,0,0,0,23.596,7.865,66.292,2.247,0,0,0,0,0,0,0,69632,0,69632,0,4,0,4
1436987447.505,1403346944,40153088,506732544,2196803584,0,2145382400,461,798,0,0,41.477,9.659,46.591,0,0,2.273,71.25,10,12.5,0,0,6.25,16.667,8.333,75,0,0,0,0,0,0,0,0,22470656,0,22470656,0,44,0,44
1436987448.507,1403355136,40153088,511311872,2192216064,0,2145382400,386,768,0,0,41.143,8.571,50.286,0,0,0,59.524,11.905,28.571,0,0,0,23.656,6.452,69.892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987449.492,1403535360,40153088,515837952,2187509760,0,2145382400,350,809,0,0,36,9.333,54.667,0,0,0,50.82,16.393,32.787,0,0,0,27.273,3.409,69.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987450.493,1403719680,40153088,520241152,2182922240,0,2145382400,411,764,0,0,41.212,10.303,48.485,0,0,0,49.333,8,42.667,0,0,0,34.066,12.088,53.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1436987451.496,1403854848,40161280,524931072,2178088960,0,2145382400,395,826,0,0,34.194,10.323,54.839,0,0,0.645,54.839,17.742,27.419,0,0,0,20.879,5.495,73.626,0,0,0,0,0,0,0,0,36864,0,36864,0,3,0,3
1436987452.494,1405542400,40161280,528826368,2172506112,0,2145382400,512,897,0,0,42.105,23.977,32.164,0,0,1.754,55.556,11.111,28.395,0,0,4.938,29.67,35.165,35.165,0,0,0,0,0,0,0,0,22831104,0,22831104,0,51,0,51
